151961,"'One week left' to pass Zika funding bill in US House, Democrats warn",Neutral
152329,Hack attack on Democrats is the future face of war,Right
152595,"I'm a Democrat, but I fear the elitism overtaking the party",Right
152819,'We were dealt a body blow': Democratic leaders on the future of their party,Right
153184,Democrats once represented the working class. Not any more,Right
153191,"Data program accessed in cyber-attack on Democrats, says Clinton campaign",Right
153291,Democratic Republic of the Congo 'faces civil war' if president fails to quit,Neutral
153603,Most Americans do not feel represented by Democrats or Republicans – survey,Neutral
153616,Democrats' hope for gun control reform: appeal to Trump's 'unpredictable' nature,Left
153910,Romania's Social Democrats easily win parliamentary elections,Neutral
154064,"Game of Thrones: Republicans hate it, Democrats love it – supposedly",Neutral
154175,Bernie Sanders and other progressives plot Democratic party comeback,Left
155721,The Democratic party lost its soul. It's time to win it back,Right
155794,"I am a Democrat in rural, red-state America. My party abandoned us",Right
155811,Strengthening Democratic party may mean cooperating with Donald Trump,Left
155858,Democrats begin fight against Trump: his election 'does not feel like America',Left
155931,Hillary Clinton named presidential nominee as Democrats make history,Left
156233,Five Democrats who could challenge Donald Trump in the 2020 election,Neutral
156248,Why do Democrats keep snubbing atheists? We help drive the party,Left
156728,"As Trump slips into red with Latinos, Democrats hope to turn Arizona blue",Neutral
156752,Virginia voter ID law upheld by federal court after Democratic challenge,Neutral
156855,Democrats must look to Nevada for hope – and lessons on how to win,Left
157036,"The Earth is flat, Trump is a Democrat … and other great conspiracy theories of 2016",Neutral
157108,North Carolina GOP strips some power from incoming Democratic governor,Right
157341,Jewish Democrats express doubts that US is ready for atheist president,Left
157664,Nancy Pelosi reports 'scores of obscene calls' after Democratic party hack,Right
158035,Loony for balloons: the Clintons delight in Democratic convention spectacle,Neutral
158048,Dozens die in Democratic Republic of Congo as violence spreads amid political instability,Neutral
158073,Arizona asks 'the unprecedented': could Democrats sweep the west?,Left
160699,Deal Or Disrupt? Congressional Democrats Weigh 2017 Choices,Neutral
160802,New Democratic Senate Leader Vows To Hold 'Donald Trump's Feet To The Fire',Left
160803,Bernie Sanders Says Trump Won Because Democrats Are Out Of Touch,Right
160815,Biden To Democrats Objecting To Electoral College Results: 'It Is Over',Neutral
160949,How Democrats Are Using Confirmation Hearings To Attack Trump,Left
161046,Democrats Rally In Dozens Of Cities To Oppose Obamacare Repeal,Left
161047,Democrats Hope Sunday Obamacare Rallies Can Help Them Regain Momentum,Left
161375,"Democrats Try To Find A Future Post-Obama With Fault Lines Along Economics, Race",Left
161537,Senate Democrats Block Committee Votes On 2 Trump Nominees,Neutral
161582,Senate Republicans Defy Democrats' Boycott To Advance Trump Nominees,Right
161583,Liberals To Senate Democrats: (Don't) Do Your Jobs,Left
161614,Senate Republicans Bypass Another Boycott By Democrats To Advance EPA Nominee,Right
161626,Senate Democrats In Political Quagmire Over Supreme Court Nomination,Right
161725,Senate Democrats Rally Overnight Against Trump's Education Pick Ahead Of Vote,Left
161893,Will Senate Democrats Work With Trump? The 10 Senators To Watch,Right
162210,Who's Who In The Race For DNC Chair — And Their Plans To Make Democrats Win Again,Left
162317,Democrats Pick Ex-Kentucky Governor To Respond To Trump Speech To Congress,Neutral
162325,Perez Elected As Chairman Of Democratic National Committee,Left
162428,Some Democrats Will Bring Muslim Guests To Trump's Speech,Left
162448,"With Republicans In Charge, Democrats Plan To Redefine Their Mission",Left
162461,"Democratic Response To Trump's Address To Congress, Annotated",Left
162471,"House Democrats Lose Another Bid To Investigate Trump, But Don't Plan To Quit",Right
162476,"Pence Says Speech Showed 'Big Heart,' But Democrats Say Same Old Trump",Right
162492,One Democrat's Hunt For The Hidden Obamacare Replacement Bill,Left
162493,Schumer Says GOP Division Gives Democrats A Chance To Save Obamacare,Left
162591,Can Democrats Turn Activism Into Votes? Special Elections Might Be A Clue,Left
162866,Pelosi Says Democrats Have A Responsibility To Look For Common Ground On Health Law,Neutral
162986,Senate Democrats Lighting The Grill For Gorsuch's Confirmation Hearings,Neutral
162995,Maryland Democrats Aim To 'Build The Pipeline' For Women In Office,Left
163009,Democrats Criticize Supreme Court Nominee Gorsuch As Pro-Business,Left
163010,"Republicans Praise Gorsuch, Democrats Decry Garland Treatment On Day 1 Of Hearings",Right
163437,Democrats Have The Votes To Filibuster Gorsuch And Force 'Nuclear' Senate Showdown,Left
163834,Georgia Democrats See Chance To Send A Message With Special Election Upset,Neutral
164010,Bernie Sanders Defends Campaigning For Anti-Abortion Rights Democrat,Left
164481,'Nothing Less Than Nixonian': Democrats React To Comey Firing,Neutral
164588,At Least 1 Person Dies Of Ebola In Democratic Republic Of The Congo,Neutral
165296,"Trump Calls Democrats 'Obstructionists,' But He's Only Nominated 11 Ambassadors",Right
165571,Trump Looms Over Both Democratic And GOP Primaries For Virginia Governor,Neutral
165602,"Democratic Lawmakers Sue Trump, Handing The President Another Legal Challenge",Left
165756,"Republicans Hold Georgia House Seat, Dashing Democrats' Hopes",Right
165786,Democrats Tie Up The Senate To Protest GOP Health Care Push,Neutral
165798,Democrats Seek Records On Jared Kushner As Administration Tries To Stifle Oversight,Neutral
165808,What The Democratic Loss in Georgia Means For The Midterms,Right
166481,3 Questions Ahead Of Tonight's Democratic Debate,Neutral
166511,"Sanders And Clinton Clash On Guns, Health Care In Democratic Debate ",Neutral
166512,The 4th Democratic Debate In 100 Words (Plus A Vine And 2 Videos),Neutral
167017,Clinton Or Sanders? Young Democrats Weigh In,Left
167093,Democratic Debate: 4 Things To Watch Tonight,Neutral
167184,"In Nevada, Will A Generation Gap Over Democratic Candidates Persist?",Left
167555,Elections 2016: Democratic And Republican Delegate Tracker,Neutral
167600,The Democratic Party Got Crushed During The Obama Presidency. Here's Why,Right
167636,"Clinton, Sanders Get Testy In Democratic Debate In Flint",Right
167637,The 7th Democratic Debate In 100 Words (And 3 Videos),Neutral
167709,Democratic Debate: 3 Things To Watch,Neutral
167886,Republicans Are Far Outstripping Democrats In Primary Turnout,Right
167990,Bernie Sanders Won Democrats Abroad ... But Who Are They?,Left
168012,Arizona Primary: Native Americans Could Be Key For Democrats,Left
168340,Democratic Race Turns Negative As Sanders And Clinton Spar Over Experience,Right
168499,Democratic Debate: Is Politeness Over? Here Are 4 Things To Watch,Neutral
168500,Sanders Denounces Surrogate's 'Corporate Democratic Whores' Comment At Rally,Neutral
168898,"As Democrats Look To General Election, Clinton Raises More Money Than Sanders",Neutral
168948,Bernie Sanders Says He's Staying In And It's 'Good For The Democratic Party',Left
169047,Bernie Sanders Endorses The Man Trying To Unseat The Democratic Party Chair,Neutral
169276,Can Trump Turn Pennsylvania's Disaffected Democrats Into Believers By November?,Right
169350,"Do Democrats Want What Bernie Wants, Or Just What Bernie Has?",Left
169378,Making Democrats' Primaries More Open Could Be Harder Than You Think,Right
169471,"Democrats Burned By Charges Of A Rigged Nomination, But Some In GOP Watch With Envy",Right
169554,Is Primary Rivalry Making The Democratic Party Stronger Like It Did In 2008?,Left
169949,"WATCH: Following Moment Of Silence, Democrats Shout Down Speaker Ryan",Right
169961,"Russian Hackers Penetrate Democratic National Committee, Steal Trump Research ",Right
169976,Democrats Hold Senate Floor Until Early Thursday In A Push For Gun Control,Left
170006,Will The Millions Of People Who Gave Money To Bernie Sanders Give To Democrats?,Neutral
170043,Will Senate Democrats' Talk-A-Thon Get Movement On Gun Legislation?,Left
170159,"Demanding Action On Gun Control, House Democrats Stage Sit-In ",Left
170194,"Almost 26 Hours Later, House Democrats End Gun Control Sit-In",Right
170197,"When TV Cameras Shut Down, House Democrats Live-Stream Their Sit-In",Neutral
170963,Leaked Democratic Party Emails Show Members Tried To Undercut Sanders,Right
170989,Democrats And The Fine Art Of Getting Out Of Your Own Way,Left
170991,"WATCH: Wasserman Schultz Won't Open Democratic Convention, Booed By Floridians",Right
171008,"Bernie Sanders, Michelle Obama To Speak Monday Night At Democratic Convention",Neutral
171030,Clinton Makes History As Democratic Presidential Nominee,Left
171122,"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",Neutral
171123,New Reports Of Hackers In Democratic Party Computer Systems,Right
171129,"PHOTOS: Dissent, Drama And Unity At The Democratic Convention",Neutral
171155,5 Takeaways From The Democratic National Convention,Neutral
171157,Pitching A 'Clintonville' Protest During The Democratic Convention,Neutral
171212,People Liked The Democratic Convention Better. Will That Boost Clinton?,Left
171460,WikiLeaks Offers Reward In Search For Democratic Party Staffer's Killer,Neutral
172399,CHARTS: White Voters Without College Degrees Are Fleeing The Democratic Party,Right
173416,Sting Video Purports To Show Democrats Describing How To Commit Voter Fraud,Right
173568,House Top 40: Flipping Control Still A Tough Task For Democrats,Right
173579,Two Weeks Out: Democrats Have The Edge In The Fight For The Senate,Left
173698,Supporters Hope Minimum-Wage Votes Will Push Democratic Turnout,Left
